skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance
4,8210,8685,90.45584412271567,1,1.0,0.0,1565,1450,1648,1468,1565,1450,1648,1468,84.92938243034621
4,8343,8612,50.656854249492376,2,1.0,0.0,1587,1342,1635,1341,1587,1342,1635,1341,48.010415536631214
4,8343,8385,25.242640687119287,1,1.0,0.0,1587,1342,1590,1366,1587,1342,1590,1366,24.186773244895647
4,8612,8660,21.899494936611667,1,1.0,0.0,1635,1341,1642,1360,1635,1341,1642,1360,20.248456731316587
4,8612,8839,70.79898987322332,2,1.0,0.0,1635,1341,1699,1326,1635,1341,1699,1326,65.73431371817918
4,8839,8874,17.313708498984763,1,1.0,0.0,1699,1326,1707,1312,1699,1326,1707,1312,16.1245154965971
4,8839,9450,269.87005768508885,1,1.0,0.0,1699,1326,1961,1339,1699,1326,1961,1339,262.32232081925474
0,0,18,18.242640687119287,1,1.0,0.0,542,1412,558,1414,542,1412,558,1414,16.1245154965971
0,18,144,46.41421356237309,2,1.0,0.0,558,1414,603,1414,558,1414,603,1414,45.0
0,18,44,23.656854249492383,1,1.0,0.0,558,1414,562,1436,558,1414,562,1436,22.360679774997898
0,64,100,19.242640687119284,1,1.0,0.0,581,1448,599,1451,581,1448,599,1451,18.24828759089466
0,100,2520,252.99494936611683,2,1.0,0.0,599,1451,815,1515,599,1451,815,1515,225.28204544525957
0,100,144,38.656854249492376,2,1.0,0.0,599,1451,603,1414,599,1451,603,1414,37.21558813185679
0,144,158,3.414213562373095,2,1.0,0.0,603,1414,606,1413,603,1414,606,1413,3.1622776601683795
0,158,1363,178.9238815542512,1,1.0,0.0,606,1413,732,1322,606,1413,732,1322,155.42522317822161
0,158,623,70.14213562373094,2,1.0,0.0,606,1413,672,1423,606,1413,672,1423,66.75327707311455
1,224,310,17.414213562373096,1,1.0,0.0,620,378,637,377,620,378,637,377,17.029386365926403
2,260,342,14.071067811865477,1,1.0,0.0,628,1916,640,1917,628,1916,640,1917,12.041594578792296
1,309,315,10.414213562373096,1,1.0,0.0,637,376,638,366,637,376,638,366,10.04987562112089
1,309,310,1.0,2,1.0,0.0,637,376,637,377,637,376,637,377,1.0
1,309,1372,98.89949493661166,2,1.0,0.0,637,376,733,371,637,376,733,371,96.13012014972206
1,310,389,23.485281374238575,1,1.0,0.0,637,377,644,397,637,377,644,397,21.18962010041709
2,342,1718,173.13708498984772,1,1.0,0.0,640,1917,759,2018,640,1917,759,2018,156.0833110873805
2,342,765,50.79898987322332,2,1.0,0.0,640,1917,683,1901,640,1917,683,1901,45.880278987817846
3,466,629,19.899494936611667,1,1.0,0.0,656,793,673,794,656,793,673,794,17.029386365926403
4,501,740,24.07106781186548,1,1.0,0.0,660,2421,682,2416,660,2421,682,2416,22.561028345356956
3,512,629,34.55634918610405,1,1.0,0.0,662,824,673,794,662,824,673,794,31.953090617340916
0,623,2774,211.75230867899745,1,1.0,0.0,672,1423,835,1347,672,1423,835,1347,179.84715733088473
0,623,1965,127.0121933088197,2,1.0,0.0,672,1423,782,1457,672,1423,782,1457,115.13470371699404
3,629,2200,142.39696961966996,2,1.0,0.0,673,794,796,754,673,794,796,754,129.34063553268942
4,729,740,18.414213562373096,1,1.0,0.0,681,2434,682,2416,681,2434,682,2416,18.027756377319946
4,740,922,16.82842712474619,2,1.0,0.0,682,2416,697,2413,682,2416,697,2413,15.297058540778355
2,765,1783,116.6396103067892,1,1.0,0.0,683,1901,765,1840,683,1901,765,1840,102.20078277586722
2,765,2128,116.45584412271567,2,1.0,0.0,683,1901,792,1907,683,1901,792,1907,109.16501271011697
4,922,2667,159.84062043356596,1,1.0,0.0,697,2413,825,2363,697,2413,825,2363,137.41906709041507
4,922,2171,116.62741699796949,2,1.0,0.0,697,2413,794,2440,697,2413,794,2440,100.68763578513501
3,1154,1262,10.656854249492381,1,1.0,0.0,717,832,726,832,717,832,726,832,9.0
3,1262,3364,229.2792206135788,1,1.0,0.0,726,832,891,947,726,832,891,947,201.12185361118767
3,1262,2088,73.52691193458114,2,1.0,0.0,726,832,790,809,726,832,790,809,68.00735254367721
1,1372,1425,18.242640687119287,1,1.0,0.0,733,371,736,388,733,371,736,388,17.26267650163207
1,1372,1502,10.242640687119286,2,1.0,0.0,733,371,742,368,733,371,742,368,9.486832980505138
1,1487,1502,2.414213562373095,1,1.0,0.0,741,366,742,368,741,366,742,368,2.23606797749979
1,1502,3633,191.4974746830585,2,1.0,0.0,742,368,919,333,742,368,919,333,180.42727066604982
2,1844,2597,53.31370849898476,1,1.0,0.0,771,1838,821,1832,771,1838,821,1832,50.35871324805669
0,1965,2056,27.485281374238575,1,1.0,0.0,782,1457,788,1482,782,1457,788,1482,25.709920264364882
0,1965,9597,1196.8721497261436,1,1.0,0.0,782,1457,1901,1311,782,1457,1901,1311,1128.4843818148304
3,2088,2200,59.142135623730944,2,1.0,0.0,790,809,796,754,790,809,796,754,55.326304774492215
3,2088,4037,200.75230867899748,2,1.0,0.0,790,809,962,747,790,809,962,747,182.8332573685652
2,2128,2616,69.18376618407352,2,1.0,0.0,792,1907,821,1851,792,1907,821,1851,63.06346010171025
2,2128,3170,86.72792206135784,2,1.0,0.0,792,1907,875,1914,792,1907,875,1914,83.2946576918352
4,2171,3712,179.50966799187808,2,1.0,0.0,794,2440,928,2507,794,2440,928,2507,149.81655449248592
4,2171,3058,80.2842712474619,2,1.0,0.0,794,2440,866,2420,794,2440,866,2420,74.72616676907762
3,2200,2254,3.414213562373095,2,1.0,0.0,796,754,798,752,796,754,798,752,2.8284271247461903
3,2252,2254,2.0,1,1.0,0.0,798,750,798,752,798,750,798,752,2.0
3,2254,2414,10.0,1,1.0,0.0,798,752,808,752,798,752,808,752,10.0
0,2405,2520,21.313708498984763,1,1.0,0.0,807,1497,815,1515,807,1497,815,1515,19.697715603592208
0,2520,3583,103.14213562373094,1,1.0,0.0,815,1515,914,1521,815,1515,914,1521,99.18165152889924
2,2597,2616,19.0,2,1.0,0.0,821,1832,821,1851,821,1832,821,1851,19.0
2,2597,3377,77.79898987322332,1,1.0,0.0,821,1832,892,1825,821,1832,892,1825,71.34423592694787
2,2616,2743,12.242640687119286,1,1.0,0.0,821,1851,832,1852,821,1851,832,1852,11.045361017187261
4,3058,3712,118.53910524340083,2,1.0,0.0,866,2420,928,2507,866,2420,928,2507,106.83164325236227
4,3058,3915,93.38477631085023,2,1.0,0.0,866,2420,952,2417,866,2420,952,2417,86.05230967266364
2,3170,5539,267.92388155425135,1,1.0,0.0,875,1914,1094,1847,875,1914,1094,1847,229.01964981197574
2,3170,9050,962.5756851698615,2,1.0,0.0,875,1914,1780,1867,875,1914,1780,1867,906.2196201804505
1,3625,3633,8.0,1,1.0,0.0,919,325,919,333,919,325,919,333,8.0
1,3633,4132,66.94112549695423,2,1.0,0.0,919,333,971,362,919,333,971,362,59.53990258641679
4,3712,3734,3.0,2,1.0,0.0,928,2507,931,2507,928,2507,931,2507,3.0
4,3734,4043,50.1126983722081,1,1.0,0.0,931,2507,962,2475,931,2507,962,2475,44.553338819890925
4,3734,5099,172.96551211459388,2,1.0,0.0,931,2507,1058,2601,931,2507,1058,2601,158.00316452527144
1,3856,4035,15.828427124746192,1,1.0,0.0,947,391,962,389,947,391,962,389,15.132745950421556
4,3915,4771,110.66904755831207,2,1.0,0.0,952,2417,1031,2434,952,2417,1031,2434,80.8084154033477
4,3915,4771,89.35533905932732,2,1.0,0.0,952,2417,1031,2434,952,2417,1031,2434,80.8084154033477
1,4035,4147,16.899494936611667,2,1.0,0.0,962,389,971,377,962,389,971,377,15.0
1,4035,4048,2.414213562373095,1,1.0,0.0,962,389,963,391,962,389,963,391,2.23606797749979
3,4037,4825,87.8700576850888,2,1.0,0.0,962,747,1037,723,962,747,1037,723,78.74642849044012
3,4037,6158,242.63961030678945,2,1.0,0.0,962,747,1186,754,962,747,1186,754,224.1093483101497
1,4132,4147,15.0,2,1.0,0.0,971,362,971,377,971,362,971,377,15.0
1,4132,4672,56.48528137423857,2,1.0,0.0,971,362,1025,356,971,362,1025,356,54.3323108288245
1,4147,4288,17.72792206135786,1,1.0,0.0,971,377,985,386,971,377,985,386,16.64331697709324
4,4611,4929,53.35533905932734,1,1.0,0.0,1020,2388,1046,2430,1020,2388,1046,2430,49.39635614091387
1,4672,4834,40.24264068711929,1,1.0,0.0,1025,356,1038,385,1025,356,1038,385,31.78049716414141
1,4672,5163,43.14213562373094,2,1.0,0.0,1025,356,1064,346,1025,356,1064,346,40.26164427839479
4,4771,4934,16.242640687119287,2,1.0,0.0,1031,2434,1046,2435,1031,2434,1046,2435,15.033296378372908
3,4825,5713,79.0416305603426,1,1.0,0.0,1037,723,1108,705,1037,723,1108,705,73.24616030891995
3,4825,4870,17.242640687119284,1,1.0,0.0,1037,723,1040,739,1037,723,1040,739,16.278820596099706
4,4929,4934,5.0,2,1.0,0.0,1046,2430,1046,2435,1046,2430,1046,2435,5.0
4,4929,5587,76.84062043356593,2,1.0,0.0,1046,2430,1099,2388,1046,2430,1099,2388,67.62396025078685
4,4934,5343,34.071067811865476,2,1.0,0.0,1046,2435,1076,2442,1046,2435,1076,2442,30.805843601498726
1,4937,5161,50.14213562373093,1,1.0,0.0,1047,307,1064,344,1047,307,1064,344,40.718546143004666
4,4947,5099,14.727922061357859,1,1.0,0.0,1047,2610,1058,2601,1047,2610,1058,2601,14.212670403551895
4,5099,5386,22.65685424949238,2,1.0,0.0,1058,2601,1078,2606,1058,2601,1078,2606,20.615528128088304
1,5161,5163,2.0,2,1.0,0.0,1064,344,1064,346,1064,344,1064,346,2.0
1,5161,6782,247.5512985522212,1,1.0,0.0,1064,344,1278,275,1064,344,1278,275,224.84883811129646
1,5163,5197,29.142135623730955,1,1.0,0.0,1064,346,1067,370,1064,346,1067,370,24.186773244895647
4,5334,5343,53.87005768508879,1,1.0,0.0,1075,2488,1076,2442,1075,2488,1076,2442,46.010868281309364
4,5343,5522,18.071067811865476,2,1.0,0.0,1076,2442,1092,2437,1076,2442,1092,2437,16.76305461424021
4,5386,5441,21.89949493661167,1,1.0,0.0,1078,2606,1083,2625,1078,2606,1083,2625,19.6468827043885
4,5386,5760,37.48528137423857,1,1.0,0.0,1078,2606,1113,2602,1078,2606,1113,2602,35.22782990761707
4,5522,5708,28.213203435596434,2,1.0,0.0,1092,2437,1107,2415,1092,2437,1107,2415,26.627053911388696
4,5522,5809,35.213203435596434,1,1.0,0.0,1092,2437,1120,2453,1092,2437,1120,2453,32.2490309931942
4,5587,5695,20.899494936611667,2,1.0,0.0,1099,2388,1106,2370,1099,2388,1106,2370,19.313207915827967
4,5587,5708,30.313708498984763,2,1.0,0.0,1099,2388,1107,2415,1099,2388,1107,2415,28.160255680657446
