skeleton-id,filename,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,branch-distance
1.0,test_image_12.png,465.0,2448.0,516.0,2443.0,53.071067811865476
3.0,test_image_12.png,469.0,379.0,501.0,426.0,64.35533905932733
3.0,test_image_12.png,469.0,379.0,501.0,383.0,34.48528137423857
1.0,test_image_12.png,471.0,2480.0,477.0,2483.0,7.242640687119285
4.0,test_image_12.png,472.0,900.0,496.0,896.0,25.65685424949238
2.0,test_image_12.png,487.0,1406.0,492.0,1431.0,27.07106781186548
2.0,test_image_12.png,487.0,1406.0,1296.0,1387.0,854.9777054234144
2.0,test_image_12.png,492.0,1431.0,537.0,1428.0,50.38477631085022
4.0,test_image_12.png,496.0,896.0,543.0,891.0,49.65685424949238
4.0,test_image_12.png,496.0,896.0,505.0,935.0,42.72792206135786
3.0,test_image_12.png,501.0,383.0,726.0,606.0,348.0731598529196
3.0,test_image_12.png,501.0,383.0,593.0,393.0,96.97056274847712
4.0,test_image_12.png,505.0,935.0,632.0,1036.0,173.52186130069785
1.0,test_image_12.png,516.0,2443.0,925.0,2369.0,448.5218613006984
1.0,test_image_12.png,516.0,2443.0,518.0,2453.0,10.82842712474619
4.0,test_image_12.png,543.0,891.0,632.0,1036.0,184.20815280171325
4.0,test_image_12.png,543.0,891.0,580.0,884.0,39.89949493661167
4.0,test_image_12.png,580.0,884.0,729.0,1001.0,223.66399692442906
4.0,test_image_12.png,580.0,884.0,616.0,873.0,40.55634918610405
3.0,test_image_12.png,593.0,393.0,765.0,255.0,261.22034611053334
3.0,test_image_12.png,593.0,393.0,1243.0,415.0,693.0782104868028
4.0,test_image_12.png,616.0,873.0,671.0,820.0,86.91168824543136
4.0,test_image_12.png,616.0,873.0,762.0,875.0,157.35533905932746
4.0,test_image_12.png,632.0,1036.0,639.0,1038.0,7.82842712474619
4.0,test_image_12.png,639.0,1038.0,765.0,1052.0,142.52691193458116
4.0,test_image_12.png,639.0,1038.0,756.0,1120.0,163.40916292848976
4.0,test_image_12.png,762.0,875.0,766.0,856.0,20.656854249492383
4.0,test_image_12.png,762.0,875.0,851.0,845.0,101.4264068711928
4.0,test_image_12.png,851.0,845.0,852.0,835.0,10.414213562373096
4.0,test_image_12.png,851.0,845.0,1462.0,846.0,641.2375900532365
1.0,test_image_12.png,925.0,2369.0,933.0,2357.0,17.071067811865476
